Common Name,Botanical Name,Water,Humidity,Light,Night Temp,life span,max len,max diameter,toxicity to pets,Sandy,Clay,Silt,Peat,Chalk,Loam,Soil-less,Category,IMG
Earth Stars ,Cryptanthus,M,M,M,50-55,0.25-0.5,30-50,20-40,0,0,0,0,1,0,0,0,Bromeliads,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRSd2YFNviUlTo_qRNCXEvRG-KvYYQSOwUi8hgccJCPCI0GoPlQ
Living Vase,Aechmea ,I ,M ,M ,55-62,3-4,30-45,15-26,0,0,0,0,1,0,0,0,Bromeliads,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSW4DeOV3K_S2nnn648idB5nBnBTyFmAkKbrZ0_ZEa7pY1eldUw
Pineapple,Ananas ,I ,M ,H ,50-55,7-10,75-150,90-120,0,0,0,0,1,0,0,0,Bromeliads,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.co.uk%2FPineapple-Champaca-Green-Plant-Growing%2Fdp%2FB079JYYMRX&psig=AOvVaw3hl2AdJktMEuZAnDcN_bkh&ust=1575024911984000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjyoZjfjOYCFQAAAAAdAAAAABAD
Air Plant ,Tillandsia ,D ,M ,L ,50-55,3-5,15-20,20-40,1,0,0,0,0,0,0,1,Bromeliads,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ_oQyfCjmmTY-jQ-TYydK2aOGYhwrUeVOj_7lNRqFG3VWmwyIW
Barrel Cacti,Ferocactus,D ,L-M ,H ,62-65,50-130,150-300,40-60,0,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fhortology.co.uk%2Fproducts%2Fechinocactus-grusonii-golden-barrel-cactus&psig=AOvVaw2zLKBISNBlzhET2AB7QqDE&ust=1575024987539000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPDl2brfjOYCFQAAAAAdAAAAABAD
Candelabra Cacti,Euphorbia,D ,L ,H ,62-65,3-4,100-300,40-60,1,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.ebay.com%2Fc%2F10032228392&psig=AOvVaw03krM-oeG67uWwpXgE5Nhw&ust=1575025005702000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCIjrkMPfjOYCFQAAAAAdAAAAABAD
Chin Cacti,Gymnocalycium,I ,L ,H ,55-60,0.15-0.5,7-10,8-13,1,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.jardineriakuka.com%2Fcactaceas%2F7576-cactus-gymnocalycium-mihanovichii.html&psig=AOvVaw1NN09-btJNNcDHWBFdV5sZ&ust=1575025025274000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCNiNotffjOYCFQAAAAAdAAAAABBF
Christmas Cacti,Schlumbergera bridgesii ,M ,M-H ,M-H ,55-65,40-50,15-25,50-60,0,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gardenloversclub.com%2Fhouseplants%2Fchristmas-cactus%2Fcare-for-christmas-cactus%2F&psig=AOvVaw1ZHlRHRNJkh7vJUgXsbN6O&ust=1575025176981000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCIjEmJjgjOYCFQAAAAAdAAAAABAD
Easter Cacti,Rhipsalidopsis gaertneri ,M ,M-H ,M-H ,55-65,10-15,70-90,30-40,1,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fshop.pistilsnursery.com%2Fproducts%2Fspring-cactus&psig=AOvVaw31RtcPnVUebIyQP0RQIugh&ust=1575025201943000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLCTg8jgjOYCFQAAAAAdAAAAABAO
Hedgehog cacti,"Echinocactus, Lobivia, Rebutia ",D ,L ,H ,62-65,50-100,20-30,2-3,0,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.ebay.com%2Fitm%2FRainbow-Hedgehog-Cactus-in-our-high-quality-cactus-mix-2-5-pot-%2F123464093060&psig=AOvVaw0B62pKvKVuWc1TAIpxoN-n&ust=1575025337105000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLiejv_gjOYCFQAAAAAdAAAAABAJ
Pincushion cacti ,Mammillaria ,D ,L ,H ,62-65,100-200,20-30,2-3,0,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.plantsguru.com%2Fmammillaria-spinosissima-cactus-plant&psig=AOvVaw3y2qVcK1z4_M3g3rROxOrz&ust=1575025475265000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLDI-KbhjOYCFQAAAAAdAAAAABAD
Prickly Pears ,Opuntia ,D ,L ,H ,62-65,20-30,30-50,10-15,0,1,0,0,0,0,0,0,Cactus,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.123rf.com%2Fphoto_49744689_opuntia-ficus-indica-cactus-with-fruit-watercolor-painting-on-white-background.html&psig=AOvVaw1u9fvRxer1UsfiP3g_8RiY&ust=1575025588795000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCKiMyOLhjOYCFQAAAAAdAAAAABAP
Thanksgiving Cacti,Zygocactus truncatus ,M ,M-H ,M-H ,55-65 ,20-40,20-30,30-45,0,1,0,0,0,0,0,0,Cactus,https://i.pinimg.com/originals/be/c5/50/bec550f4c4cdba37175deebb3c670adc.jpg
Torch Cacti ,Trichocereus ,D ,L ,H ,62-65,20-50,400-600,15-20,1,1,0,0,0,0,0,0,Cactus,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTggP9RKDt4mOtKOVqvzdnLaTr6k5i24DgqOANhrhaoykhgT3h3
Asparagus Fern,Asparagus setaceus ,M ,M-H ,M ,55-65,25-30,70-90,5-15,1,1,1,1,0,0,1,0,Ferns,https://www.google.com/url?sa=i&url=https%3A%2F%2Fhortology.co.uk%2Fproducts%2Fasparagus-setaceus-lace-fern-house-plants&psig=AOvVaw1EImJiIK18oG22hR26qaOE&ust=1575025758475000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOjT56rijOYCFQAAAAAdAAAAABAD
Birdnest Fern,Asplenium nidus ,M ,M ,L-M ,55-65,20-25,80-150,50-90,0,1,1,1,0,0,1,0,Ferns,https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.joshsfrogs.com%2Fasplenium-nidus-bird-s-nest-fern.html&psig=AOvVaw0YcZPloRkC_BYuiaDT5Hb7&ust=1575025779549000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCJDxsLPijOYCFQAAAAAdAAAAABAD
Staghorn Fern,Platycerium ,M ,H ,M ,55-65,2-5,70-100,40-60,0,1,1,1,0,0,1,0,Ferns,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQSCE3d-uDgNHYcYIVdsAm9tOnDfKo6HKi70fMQKAroO0Duaf8n
Sword Fern,Nephrolepis ,M ,M-H ,M ,50-55,5-10,70-100,5-10,0,1,1,1,0,0,1,0,Ferns,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.wayfair.com%2Fdecor-pillows%2Fpdx%2Fbrayden-studio-sword-fern-plant-in-pot-bstu3386.html&psig=AOvVaw3vX6APvTjikBF1uw_dCYiW&ust=1575025816019000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjkv8zijOYCFQAAAAAdAAAAABAD
Boston Fern ,Adiantum ,M ,M-H ,M ,55-65 ,5-10,70-120,30-50,0,1,1,1,0,0,1,0,Ferns,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.homedepot.com%2Fp%2FNearly-Natural-Indoor-22-in-Boston-Fern-Artificial-Plant-in-Sandstone-Planter-8052%2F305531087&psig=AOvVaw3IaeK2JZ83Yg6Vp9J9J3VR&ust=1575025849857000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCIjfwNXijOYCFQAAAAAdAAAAABAD
Weeping Fig ,Ficus benjamina ,D ,M-H ,M-H,62-65,15-20,100-200,20-30,1,1,1,0,0,0,1,0,Figs,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FWintergreen-Weeping-Fig-Tree-Indoor%2Fdp%2FB00MT0OAUK&psig=AOvVaw2I18N5ZcnzawTgipNVqwB2&ust=1575025866572000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPCO8tzijOYCFQAAAAAdAAAAABAD
